               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.023781,           0.0092997,                   0,             0.99248,             0.98842,             0.99443,             0.76118,            0.021786,           0.0035688,                   0,            0.009445,            0.009445,            0.009445
                  39,            0.023696,           0.0092351,                   0,             0.99384,             0.98977,             0.99446,              0.7648,            0.021625,            0.003542,                   0,             0.00943,             0.00943,             0.00943
                  40,            0.023743,           0.0091396,                   0,             0.99451,             0.98706,             0.99453,             0.75917,            0.021865,           0.0035672,                   0,            0.009415,            0.009415,            0.009415
                  41,            0.023359,            0.009293,                   0,              0.9918,             0.98978,             0.99466,             0.76227,            0.021588,           0.0035456,                   0,              0.0094,              0.0094,              0.0094
                  42,             0.02357,           0.0092416,                   0,             0.99249,             0.98978,             0.99479,             0.76761,            0.022186,           0.0035149,                   0,            0.009385,            0.009385,            0.009385
                  43,             0.02359,           0.0092503,                   0,             0.99247,             0.98773,             0.99453,             0.76968,            0.021807,            0.003528,                   0,             0.00937,             0.00937,             0.00937
                  44,            0.023386,            0.009358,                   0,             0.99384,             0.98907,             0.99466,             0.76169,            0.021681,           0.0035333,                   0,            0.009355,            0.009355,            0.009355
                  45,            0.023317,           0.0093114,                   0,             0.99449,              0.9891,             0.99456,             0.76717,            0.021533,           0.0035538,                   0,             0.00934,             0.00934,             0.00934
                  46,            0.023355,           0.0091457,                   0,             0.99248,             0.99046,             0.99471,             0.76873,            0.021527,           0.0035581,                   0,            0.009325,            0.009325,            0.009325
                  47,            0.023407,           0.0091685,                   0,             0.99656,             0.98774,             0.99476,             0.76561,            0.021629,           0.0034873,                   0,             0.00931,             0.00931,             0.00931
                  48,            0.023352,           0.0091368,                   0,              0.9952,             0.98774,             0.99444,             0.77126,            0.021448,           0.0034561,                   0,            0.009295,            0.009295,            0.009295
                  49,            0.023148,           0.0092457,                   0,             0.99587,              0.9891,             0.99483,              0.7657,            0.021728,           0.0035006,                   0,             0.00928,             0.00928,             0.00928
                  50,            0.023091,           0.0092213,                   0,             0.99519,             0.98978,             0.99455,             0.77139,            0.021813,           0.0034478,                   0,            0.009265,            0.009265,            0.009265
